Etablissement;Année;Ville;Taux Brut de Réussite série L;Taux Brut de Réussite série ES;Taux Brut de Réussite série S;Académie
LYCEE MONTMAJOUR;2012;ARLES;95;79;96;AIX-MARSEILLE
LYCEE BRISTOL;2017;CANNES;84;84;75;NICE
LYCEE MARGUERITE DE NAVARRE;2017;BOURGES;89;94;91;ORLEANS-TOURS
LYCEE FULBERT;2017;CHARTRES;88;88;89;ORLEANS-TOURS
LYCEE NOTRE DAME;2017;CHARTRES;100;97;96;ORLEANS-TOURS
LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.);2017;DREUX;94;98;97;ORLEANS-TOURS
LYCEE ROLLINAT;2017;ARGENTON SUR CREUSE;100;82;88;ORLEANS-TOURS
LYCEE BENJAMIN FRANKLIN (GENERAL ET TECHNO.);2017;ORLEANS;68;80;93;ORLEANS-TOURS
LYCEE POTHIER;2017;ORLEANS;88;83;87;ORLEANS-TOURS
LYCEE TURGOT;2017;PARIS 03;94;92;92;PARIS
LYCEE LOUIS LE GRAND;2017;PARIS 05;100;;100;PARIS
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.);2017;PARIS 15;;54;71;PARIS
LYCEE L'ASSOMPTION;2017;PARIS 16;100;100;100;PARIS
LYCEE LA TOUR;2017;PARIS 16;100;100;100;PARIS
LYCEE BELLEVUE;2017;SAINTES;100;98;99;POITIERS
LYCEE JOSEPH DESFONTAINES;2017;MELLE;85;90;91;POITIERS
LYCEE GASTON BACHELARD (GENERAL ET TECHNO.);2017;BAR SUR AUBE;89;94;86;REIMS
LYCEE EUROPEEN STEPHANE HESSEL (GENERAL ET TECHNO.);2017;EPERNAY;95;87;85;REIMS
LYCEE ST SEBASTIEN;2017;LANDERNEAU;100;100;98;RENNES
LYCEE RENE LAENNEC;2017;PONT L ABBE;83;81;94;RENNES
LYCEE JEAN BRITO;2017;BAIN DE BRETAGNE;94;91;96;RENNES
LYCEE PORTE DE NORMANDIE;2017;VERNEUIL D AVRE ET D ITON;90;83;95;ROUEN
LYCEE LA PROVIDENCE;2017;FECAMP;100;90;95;ROUEN
LYCEE LA DECOUVERTE (GENERAL ET TECHNO.);2017;DECAZEVILLE;100;86;100;TOULOUSE
LYCEE BOSSUET;2017;CONDOM;94;93;89;TOULOUSE
LYCEE D'ARTAGNAN (GENERAL ET TECHNO.);2017;NOGARO;93;96;97;TOULOUSE
LYCEE DES ARENES;2017;TOULOUSE;85;80;93;TOULOUSE
LYCEE LES MARISTES TOULOUSE (GENERAL ET TECHNO.);2017;TOULOUSE;89;93;91;TOULOUSE
LYCEE OZENNE;2017;TOULOUSE;97;94;96;TOULOUSE
LYCEE MICHELET;2017;LANNEMEZAN;90;93;94;TOULOUSE
LYCEE LA SERRE DE SARSAN;2017;LOURDES;92;94;91;TOULOUSE
LYCEE SACRE COEUR;2017;LA VILLE DU BOIS;100;100;99;VERSAILLES
LYCEE DESCARTES;2017;ANTONY;91;89;94;VERSAILLES
LYCEE LA SOURCE;2017;MEUDON;100;100;100;VERSAILLES
LYCEE PAUL LANGEVIN;2017;SURESNES;96;91;85;VERSAILLES
LYCEE CAMILLE SAINT-SAENS;2017;DEUIL LA BARRE;95;80;93;VERSAILLES
LYCEE VAN GOGH;2017;ERMONT;83;86;87;VERSAILLES
LYCEE DUMONT D'URVILLE (GENERAL ET TECHNO.);2017;MAUREPAS;80;69;88;VERSAILLES
LYCEE MONTMAJOUR;2018;ARLES;98;83;89;AIX-MARSEILLE
LYCEE CHARLES PEGUY (GENERAL ET TECHNO.);2018;MARSEILLE 06;;43;;AIX-MARSEILLE
LYCEE NOTRE DAME DE SION;2018;MARSEILLE 06;100;100;97;AIX-MARSEILLE
LYCEE REMPART (RUE DU);2018;MARSEILLE 07;;56;87;AIX-MARSEILLE
LYCEE PROVENCE (DE);2018;MARSEILLE 08;100;100;100;AIX-MARSEILLE
LYCEE AMEP (GENERAL ET TECHNO.);2018;FORT DE FRANCE;100;86;90;MARTINIQUE
LYCEE VICTOR SCHOELCHER;2018;FORT DE FRANCE;94;89;89;MARTINIQUE
LYCEE ADVENTISTE RAMA (GENERAL ET TECHNO.);2018;STE LUCE;;89;96;MARTINIQUE
LYCEE DU NORD (GENERAL ET TECHNO.);2018;ACOUA;72;49;69;MAYOTTE
LYCEE DE SADA (GENERAL ET TECHNO.);2018;SADA;95;89;90;MAYOTTE
LYCEE JULES FIL (GENERAL ET TECHNO.);2018;CARCASSONNE;87;92;95;MONTPELLIER
LYCEE ROSA LUXEMBURG (GENERAL ET TECHNO.);2018;CANET EN ROUSSILLON;89;87;96;MONTPELLIER
LYCEE DE LA COMMUNICATION;2018;METZ;90;89;85;NANCY-METZ
LYCEE LOUIS LAPICQUE;2018;EPINAL;86;76;73;NANCY-METZ
LYCEE JOUBERT-EMILIEN MAILLARD (GENERAL ET TECHNO.);2018;ANCENIS;100;90;89;NANTES
LYCEE JULES VERNE;2018;NANTES;97;93;98;NANTES
LYCEE EMMANUEL MOUNIER;2018;ANGERS;93;93;95;NANTES
LYCEE ST MARTIN;2018;ANGERS;100;94;95;NANTES
LYCEE ROSA PARKS (GENERAL ET TECHNO.);2018;LA ROCHE SUR YON;;85;94;NANTES
LYCEE L'ASSOMPTION;2018;PARIS 16;100;100;100;PARIS
LYCEE LA SALLE SAINT LOUIS;2018;PONT L ABBE D ARNOULT;100;100;100;POITIERS
LYCEE VENISE VERTE;2018;NIORT;96;89;98;POITIERS
LYCEE JEAN MOULIN (GENERAL ET TECHNO.);2018;REVIN;85;85;67;REIMS
LYCEE COLBERT;2018;REIMS;85;82;79;REIMS
LYCEE ST JOSEPH;2018;LAMBALLE;100;96;97;RENNES
LYCEE EUGENE FREYSSINET;2018;ST BRIEUC;88;99;91;RENNES
LYCEE PIERRE GUEGUIN (GENERAL ET TECHNO.);2018;CONCARNEAU;100;86;95;RENNES
LYCEE EMILE ZOLA;2018;RENNES;93;97;92;RENNES
LYCEE PIERRE MENDES FRANCE (GENERAL ET TECHNO.);2018;RENNES;71;89;97;RENNES
LYCEE SAINT ADJUTOR;2018;VERNON;100;93;100;ROUEN
LYCEE LA PROVIDENCE;2018;DIEPPE;100;96;96;ROUEN
LYCEE ANGUIER (GENERAL ET TECHNO.);2018;EU;87;86;88;ROUEN
LYCEE LOUIS COUFFIGNAL (GENERAL ET TECHNO.);2018;STRASBOURG;;;84;STRASBOURG
LYCEE JEAN VIGO;2018;MILLAU;91;93;96;TOULOUSE
LYCEE BOSSUET;2018;CONDOM;100;80;90;TOULOUSE
LYCEE MASSILLON;2017;CLERMONT FERRAND;100;100;100;CLERMONT-FERRAND
LYCEE MURAT;2017;ISSOIRE;95;92;89;CLERMONT-FERRAND
LYCEE LA FAYETTE (GENERAL ET TECHNO.);2017;CHAMPAGNE SUR SEINE;;;82;CRETEIL
LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.);2017;CRETEIL;;;90;CRETEIL
LYCEE OZAR HATORAH FILLES;2017;CRETEIL;;100;100;CRETEIL
LYCEE OZAR HATORAH GARCONS;2017;CRETEIL;;79;92;CRETEIL
LYCEE PIERRE GILLES DE GENNES (GENERAL ET TECHNO.);2017;COSNE COURS SUR LOIRE CEDE;64;81;95;DIJON
LYCEE LÉON BLUM (GENERAL ET TECHNO.);2017;LE CREUSOT;78;87;83;DIJON
LYCEE EMILE LOUBET;2017;VALENCE;98;91;94;GRENOBLE
LYCEE L'OISELET;2017;BOURGOIN JALLIEU;95;90;94;GRENOBLE
LYCEE GERVILLE REACHE;2017;BASSE TERRE;95;98;92;GUADELOUPE
LYCEE FELIX EBOUE;2017;CAYENNE;84;92;89;GUYANE
LYCEE ROLAND GARROS (GENERAL ET TECHNO.);2017;LE TAMPON;87;98;90;LA REUNION
LYCEE BEL AIR (GENERAL ET TECHNO.);2017;STE SUZANNE;89;93;89;LA REUNION
LYCEE DUPLEIX;2017;LANDRECIES;94;100;80;LILLE
LYCEE PABLO PICASSO (GENERAL ET TECHNO.);2017;AVION;71;86;55;LILLE
ENSEMBLE SCOLAIRE LAMARTINE;2017;BELLEY;100;100;90;LYON
LYCEE ARAGON-PICASSO (GENERAL ET TECHNO.);2017;GIVORS;88;92;94;LYON
LYCEE LA FAVORITE SAINTE THERESE;2017;LYON 05;100;98;99;LYON
LYCEE RAYMOND POINCARE;2017;BAR LE DUC;76;96;91;NANCY-METZ
LYCEE LA MENNAIS;2017;GUERANDE;88;79;94;NANTES
LYCEE GRAND AIR;2017;LA BAULE;93;87;91;NANTES
LYCEE IMMACULEE CONCEPTION;2017;LAVAL;100;96;100;NANTES
LYCEE NOTRE DAME;2017;LE MANS;96;95;93;NANTES
LYCEE GEORGES CLEMENCEAU;2017;CHANTONNAY;78;90;83;NANTES
LYCEE ALEXANDRE RIBOT;2016;ST OMER;98;98;86;LILLE
LYCEE JEANNE HACHETTE;2016;BEAUVAIS;95;97;91;AMIENS
LYCEE JEAN ROSTAND;2016;CHANTILLY;87;85;91;AMIENS
LYCEE ALAIN CHARTIER;2016;BAYEUX;89;;87;CAEN
LYCEE AUGUSTE CHEVALIER;2016;DOMFRONT EN POIRAIE;100;94;84;CAEN
LYCEE GALILEE (GENERAL ET TECHNO.);2016;FRANQUEVILLE ST PIERRE;96;85;95;ROUEN
LYCEE NOTRE DAME;2016;GUINGAMP;82;100;96;RENNES
LYCEE JULES LESVEN;2016;BREST;;89;;RENNES
LYCEE SAINT BLAISE;2016;DOUARNENEZ;94;97;94;RENNES
LYCEE ST ESPRIT;2016;LANDIVISIAU;91;100;96;RENNES
LYCEE MARCEL CALLO;2016;REDON;;;100;RENNES
LYCEE CHARLES DE GAULLE;2016;VANNES;78;96;95;RENNES
LYCEE LA HERDRIE;2016;BASSE GOULAINE;100;97;91;NANTES
LYCEE CENS;2016;LA CHAPELLE SUR ERDRE;;100;100;NANTES
LYCEE ST JOSEPH;2016;MAUGES SUR LOIRE;94;100;88;NANTES
LYCEE NOTRE DAME;2016;LA FLECHE;100;80;100;NANTES
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.);2016;MONTAIGU;95;100;91;NANTES
LYCEE ST THOMAS D AQUIN;2016;ST JEAN DE LUZ;100;100;100;BORDEAUX
LYCEE DE NAVARRE (GENERAL ET TECHNO.);2016;ST JEAN PIED DE PORT;100;100;94;BORDEAUX
LYCEE ERNEST PEROCHON;2016;PARTHENAY;96;92;95;POITIERS
LYCEE DU BOIS D'AMOUR;2016;POITIERS;97;99;97;POITIERS
LYCEE CHARLES GIDE;2016;UZES;100;96;96;MONTPELLIER
LYCEE AUGUSTE LOUBATIERES (GENERAL ET TECHNO.);2016;AGDE;90;88;94;MONTPELLIER
LYCEE JEAN MOULIN (GENERAL ET TECHNO.);2016;BEZIERS;90;74;82;MONTPELLIER
LYCEE VICTOR HUGO (GENERAL ET TECHNO.);2016;LUNEL;97;85;84;MONTPELLIER
LYCEE ST JOSEPH PIERRE ROUGE (GENERAL ET TECHNO.);2016;MONTFERRIER SUR LEZ;100;88;84;MONTPELLIER
LYCEE JULES GUESDE (GENERAL ET TECHNO.);2016;MONTPELLIER;95;89;91;MONTPELLIER
LYCEE SACRE-COEUR;2016;ST CHELY D APCHER;;100;;MONTPELLIER
LYCEE DE BAGATELLE;2016;ST GAUDENS;92;90;93;TOULOUSE
LYCEE BOSSUET;2016;CONDOM;89;93;88;TOULOUSE
LYCEE BOURDELLE;2016;MONTAUBAN;;81;94;TOULOUSE
LYCEE ALAIN FOURNIER;2016;BOURGES;97;93;90;ORLEANS-TOURS
LYCEE JULES RENARD;2018;NEVERS;89;;93;DIJON
LYCEE JULES FROMENT;2018;AUBENAS;90;94;94;GRENOBLE
LYCEE ROGER FRISON ROCHE (GENERAL ET TECHNO.);2018;CHAMONIX MONT BLANC;;98;100;GRENOBLE
LYCEE LES EAUX CLAIRES;2018;GRENOBLE;90;95;95;GRENOBLE
LYCEE STENDHAL;2018;GRENOBLE;90;89;88;GRENOBLE
LYCEE DE L'EDIT (GENERAL ET TECHNO.);2018;ROUSSILLON;88;92;89;GRENOBLE
LYCEE GERVILLE REACHE;2018;BASSE TERRE;95;98;95;GUADELOUPE
LYCEE CARNOT (GENERAL ET TECHNO.);2018;POINTE A PITRE;91;83;;GUADELOUPE
LYCEE LECONTE DE LISLE;2018;ST DENIS;97;98;92;LA REUNION
LYCEE PRIVE AVERROES;2018;LILLE;78;86;97;LILLE
LYCEE GAMBETTA;2018;TOURCOING;84;84;76;LILLE
LYCEE EMILE ZOLA (GENERAL ET TECHNO.);2018;WATTRELOS;72;72;71;LILLE
ENSEMBLE SCOLAIRE LA SALLE;2018;ST ETIENNE;94;84;89;LYON
LYCEE SIMONE WEIL;2018;ST PRIEST EN JAREZ;97;91;93;LYON
LYCEE COLBERT;2018;LYON 08;76;71;64;LYON
LYCEE ANDRE MALRAUX;2018;MONTATAIRE;92;93;87;AMIENS
LYCEE LOUIS PERGAUD;2018;BESANCON;94;90;96;BESANCON
LYCEE LES AUGUSTINS;2018;PONTARLIER;100;100;98;BESANCON
LYCEE JEAN MICHEL;2018;LONS LE SAUNIER;86;89;91;BESANCON
LYCEE NOTRE DAME LA COMPASSION;2018;MARMANDE;86;89;95;BORDEAUX
LYCEE LARGENTE;2018;BAYONNE;;100;100;BORDEAUX
LYCEE GASTON FEBUS;2018;ORTHEZ;98;94;89;BORDEAUX
LYCEE ST DOMINIQUE;2018;PAU;;100;100;BORDEAUX
LYCEE ALAIN CHARTIER;2018;BAYEUX;78;;90;CAEN
LYCEE JEAN MONNET (GENERAL ET TECHNO.);2018;MORTAGNE AU PERCHE;93;96;89;CAEN
LYCEE SAINTE-LOUISE;2018;MONTLUCON;100;56;78;CLERMONT-FERRAND
LYCEE SAINTE THECLE;2018;CHAMALIERES;100;97;98;CLERMONT-FERRAND
LYCEE CAMPUS SAINTE THERESE;2018;OZOIR LA FERRIERE;100;100;100;CRETEIL
LYCEE SAINTE CROIX;2018;PROVINS;100;96;98;CRETEIL
LYCEE GUSTAVE EIFFEL;2018;GAGNY;74;66;73;CRETEIL
LYCEE ANDRE BOULLOCHE;2018;LIVRY GARGAN;92;94;89;CRETEIL
LYCEE MARX DORMOY (GENERAL ET TECHNO.);2018;CHAMPIGNY SUR MARNE;92;94;62;CRETEIL
LYCEE EUGENE DELACROIX;2018;MAISONS ALFORT;91;89;94;CRETEIL
LYCEE MAHATMA GANDHI;2016;ST ANDRE;93;92;92;LA REUNION
LYCEE DE VINCENDO (GENERAL ET TECHNO.);2016;ST JOSEPH;83;92;96;LA REUNION
LYCEE JOSEPH GAILLARD;2016;FORT DE FRANCE;;77;87;MARTINIQUE
LYCEE FAUSTIN FLERET;2016;MORNE A L EAU;92;89;98;GUADELOUPE
LYCEE TANI MALANDI (GENERAL ET TECHNO.);2016;CHIRONGUI;89;70;74;MAYOTTE
LYCEE GERARD DE NERVAL;2017;SOISSONS;86;93;95;AMIENS
LYCEE JEAN ROSTAND;2017;CHANTILLY;98;83;88;AMIENS
LYCEE SAINT PIERRE;2017;ABBEVILLE;100;88;100;AMIENS
LYCEE LES AUGUSTINS;2017;PONTARLIER;100;97;100;BESANCON
LYCEE VICTOR BERARD (GENERAL ET TECHNO.);2017;MOREZ;;93;100;BESANCON
LYCEE JEAN RENOU (GENERAL ET TECHNO.);2017;LA REOLE;95;89;92;BORDEAUX
LYCEE ST JACQUES DE COMPOSTELLE;2017;DAX;100;100;100;BORDEAUX
LYCEE SUD DES LANDES;2017;ST VINCENT DE TYROSSE CEDE;91;91;93;BORDEAUX
LYCEE LE BEAU RAMEAU LESTELLE BETHAR;2017;LESTELLE BETHARRAM;;67;67;BORDEAUX
LYCEE GASTON FEBUS;2017;ORTHEZ;91;96;92;BORDEAUX
LYCEE MARIE CURIE;2017;VIRE NORMANDIE;93;91;94;CAEN
LYCEE NOTRE DAME DE LA PROVIDENCE;2017;AVRANCHES;100;93;87;CAEN
LYCEE ALEXIS DE TOCQUEVILLE (GENERAL ET TECHNO.);2017;CHERBOURG EN COTENTIN;;94;97;CAEN
LYCEE AUGUSTE CHEVALIER;2017;DOMFRONT EN POIRAIE;93;94;89;CAEN
LYCEE SAINTE MARIE LA GRAND'GRANGE;2016;ST CHAMOND;100;100;91;LYON
LYCEE AMPERE;2016;LYON 02;95;92;94;LYON
LYCEE SAINT MARC;2016;LYON 02;100;100;99;LYON
LYCEE PIERRE BROSSOLETTE;2016;VILLEURBANNE;90;77;85;LYON
LYCEE LOUIS ARAGON (GENERAL ET TECHNO.);2016;HERICOURT;80;96;93;BESANCON
LYCEE MATHIAS (GENERAL ET TECHNO.);2016;CHALON SUR SAONE;77;88;84;DIJON
LYCEE LA PRAT'S;2016;CLUNY;;92;90;DIJON
LYCEE L'ASSOMPTION;2016;BRIEY;;89;94;NANCY-METZ
LYCEE CHARLES DE FOUCAULD;2016;NANCY;;69;71;NANCY-METZ
LYCEE HENRI POINCARE;2016;NANCY;95;85;88;NANCY-METZ
LYCEE SAINT DOMINIQUE;2016;NANCY;80;90;92;NANCY-METZ
LYCEE DE LA COMMUNICATION;2016;METZ;96;84;92;NANCY-METZ
LYCEE HELENE BOUCHER;2016;THIONVILLE;93;92;88;NANCY-METZ
LYCEE SCHURE;2016;BARR;100;98;97;STRASBOURG
INSTITUTION NOTRE DAME;2016;STRASBOURG;100;100;95;STRASBOURG
LYCEE SAINT ANDRE;2016;COLMAR;100;100;100;STRASBOURG
LYCEE LAVOISIER (GENERAL ET TECHNO.);2016;MULHOUSE;;91;81;STRASBOURG
LYCEE PRIVE AVERROES;2016;LILLE;100;94;98;LILLE
LYCEE HENRI IV;2016;PARIS 05;100;100;100;PARIS
LYCEE SAINT-THOMAS D'AQUIN;2016;PARIS 07;100;100;98;PARIS
LYCEE FENELON SAINTE-MARIE;2016;PARIS 08;100;100;100;PARIS
LYCEE E. NAPOLEON ST PIERRE FOURIER;2016;PARIS 12;96;100;98;PARIS
LYCEE CATHERINE LABOURE (GENERAL ET TECHNO.);2016;PARIS 14;;96;;PARIS
LYCEE SONIA DELAUNAY (GENERAL ET TECHNO.);2016;CESSON;92;94;95;CRETEIL
LYCEE JEANNE D'ARC SAINT ASPAIS;2016;FONTAINEBLEAU;100;100;97;CRETEIL
LYCEE CLEMENT ADER (GENERAL ET TECHNO.);2016;TOURNAN EN BRIE;85;80;90;CRETEIL
LYCEE CHARLES PEGUY;2016;BOBIGNY;100;100;100;CRETEIL
LYCEE PAUL LE ROLLAND (GENERAL ET TECHNO.);2016;DRANCY;;;60;CRETEIL
LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO.);2016;DUGNY;;;;CRETEIL
LYCEE GUSTAVE EIFFEL;2016;GAGNY;94;85;84;CRETEIL
LYCEE PAUL ROBERT (GENERAL ET TECHNO.);2016;LES LILAS;91;82;90;CRETEIL
LYCEE CONDORCET (GENERAL ET TECHNO.);2016;LIMAY;89;98;97;VERSAILLES
LYCEE CHARLES DE GAULLE;2016;POISSY;;92;99;VERSAILLES
LYCEE RENE CASSIN;2016;ARPAJON;86;94;93;VERSAILLES
LYCEE FRANCOIS-JOSEPH TALMA;2016;BRUNOY;98;86;89;VERSAILLES
LYCEE ETIENNE-JULES MAREY (GENERAL ET TECHNO.);2016;BOULOGNE BILLANCOURT;;;;VERSAILLES
LYCEE JACQUES PREVERT;2016;BOULOGNE BILLANCOURT;97;92;86;VERSAILLES
LYCEE LUCIE AUBRAC;2016;COURBEVOIE;92;96;88;VERSAILLES
LYCEE MONTALEMBERT;2016;COURBEVOIE;100;100;98;VERSAILLES
LYCEE SAINTE MARIE;2016;NEUILLY SUR SEINE;100;100;100;VERSAILLES
LYCEE JULES VERNE (GENERAL ET TECHNO.);2016;CERGY;94;92;91;VERSAILLES
LYCEE JEAN-JACQUES ROUSSEAU;2016;MONTMORENCY;78;83;89;VERSAILLES
LYCEE SAINT-JOSEPH DE L'APPARITION;2018;GAILLAC;100;95;100;TOULOUSE
LYCEE JEANNE D'ARC;2018;MAZAMET;80;100;86;TOULOUSE
LYCEE PIERRE MARIE THEAS;2018;MONTAUBAN;96;89;99;TOULOUSE
LYCEE RENE CASSIN;2018;ARPAJON;96;93;94;VERSAILLES
LYCEE FRANCOIS TRUFFAUT (GENERAL ET TECHNO.);2018;BONDOUFLE;69;80;93;VERSAILLES
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.);2018;EVRY COURCOURONNES;71;88;80;VERSAILLES
LYCEE L'ESSOURIAU (GENERAL ET TECHNO.);2018;LES ULIS;85;90;83;VERSAILLES
LYCEE CAMILLE CLAUDEL;2018;PALAISEAU;88;84;92;VERSAILLES
LYCEE NOTRE-DAME;2018;BOURG LA REINE;100;100;100;VERSAILLES
LYCEE JULES VERNE (GENERAL ET TECHNO.);2018;CERGY;100;93;93;VERSAILLES
LYCEE MONTESQUIEU;2018;HERBLAY SUR SEINE;95;93;91;VERSAILLES
LYCEE JEANNE D'ALBRET;2018;ST GERMAIN EN LAYE;96;96;99;VERSAILLES
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.);2018;ST GERMAIN EN LAYE;;;82;VERSAILLES
LYCEE NOTRE DAME DU GRANDCHAMP;2018;VERSAILLES;100;100;100;VERSAILLES
LYCEE JEAN-PIERRE VERNANT;2012;PINS JUSTARET;100;97;92;TOULOUSE
LYCEE CLEMENT MAROT;2012;CAHORS CEDEX;89;95;89;TOULOUSE
LYCEE LAPEROUSE;2012;ALBI CEDEX;97;97;99;TOULOUSE
LYCEE NOTRE DAME DE SION (GENERAL ET TECHNO.);2012;EVRY;100;95;100;VERSAILLES
LYCEE EMMANUEL MOUNIER;2012;CHATENAY MALABRY;88;97;90;VERSAILLES
LYCEE JEANNE D ARC;2012;COLOMBES;;100;97;VERSAILLES
LYCEE RABELAIS;2012;MEUDON;93;92;92;VERSAILLES
LYCEE SAINT DOMINIQUE;2012;NEUILLY SUR SEINE CEDEX;94;100;99;VERSAILLES
LYCEE JEAN MONNET (GENERAL ET TECHNO.);2012;FRANCONVILLE CEDEX;91;73;86;VERSAILLES
LYCEE GERARD DE NERVAL;2012;LUZARCHES;81;85;84;VERSAILLES
LYCEE EDMOND ROSTAND;2012;ST OUEN L AUMONE;95;94;85;VERSAILLES
LYCEE NOTRE DAME;2012;ST GERMAIN EN LAYE;100;100;100;VERSAILLES
LYCEE ALEXANDRA DAVID NEEL;2013;DIGNE LES BAINS;78;92;70;AIX-MARSEILLE
LYCEE ST JOSEPH DE LA MADELEINE;2013;MARSEILLE 04;97;100;100;AIX-MARSEILLE
LYCEE MARCEL PAGNOL;2013;MARSEILLE 10;100;89;83;AIX-MARSEILLE
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.);2013;SOISSONS;;79;80;AMIENS
LYCEE ARNAUD DANIEL;2013;RIBERAC;100;90;95;BORDEAUX
LYCEE ANATOLE DE MONZIE;2013;BAZAS;100;100;100;BORDEAUX
LYCEE RECLUS;2013;STE FOY LA GRANDE;91;85;80;BORDEAUX
LYCEE ALFRED KASTLER (GENERAL ET TECHNO.);2013;TALENCE;;76;91;BORDEAUX
LYCEE VICTOR LOUIS (GENERAL ET TECHNO.);2013;TALENCE;96;93;94;BORDEAUX
LYCEE TERTIAIRE ET  SOCIAL G.LEYGUES (GENERAL ET TECHNO.);2013;VILLENEUVE SUR LOT;100;97;96;BORDEAUX
LYCEE SAINT-JOHN PERSE;2013;PAU;90;97;96;BORDEAUX
LYCEE DE NAVARRE (GENERAL ET TECHNO.);2013;ST JEAN PIED DE PORT;100;100;100;BORDEAUX
LYCEE ALAIN CHARTIER;2013;BAYEUX;91;;88;CAEN
LYCEE AUGUSTIN FRESNEL;2013;CAEN;94;93;94;CAEN
LYCEE SAINTE URSULE;2013;CAEN;;;;CAEN
LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO.);2013;HEROUVILLE ST CLAIR CEDE;;;;CAEN
LYCEE LE VERRIER;2013;ST LO;100;95;96;CAEN
LYCEE NAPOLEON;2013;L AIGLE;100;100;98;CAEN
LYCEE SAINT JULIEN (GENERAL ET TECHNO.);2013;BRIOUDE;100;100;100;CLERMONT-FERRAND
LYCEE ETIENNE BEZOUT (GENERAL ET TECHNO.);2013;NEMOURS;89;93;96;CRETEIL
LYCEE JEANNE D'ARC;2012;CESSY;100;96;87;LYON
LYCEE DE LA COTIERE;2012;LA BOISSE;85;97;85;LYON
LYCEE CLAUDE LEBOIS;2012;ST CHAMOND CEDEX;91;74;91;LYON
LYCEE FRANCOIS RABELAIS;2012;DARDILLY CEDEX;;;;LYON
LYCEE CHEVREUL;2012;LYON 07;100;100;100;LYON
LYCEE NOTRE DAME DES MINIMES;2012;LYON CEDEX 0 05;87;100;100;LYON
LYCEE SAINT JUST;2012;LYON CEDEX 0 05;92;94;97;LYON
LYCEE NOTRE DAME DE BEL AIR;2012;TARARE;83;86;93;LYON
LYCEE FRANCOIS MANSART (GENERAL ET TECHNO.);2012;THIZY;100;100;98;LYON
LYCEE BELLEVUE;2012;FORT DE FRANCE CEDEX;88;93;91;MARTINIQUE
LYCEE SAINT LOUIS (GENERAL ET TECHNO.);2012;CARCASSONNE;83;83;94;MONTPELLIER
LYCEE GEORGES POMPIDOU (GENERAL ET TECHNO.);2012;CASTELNAU LE LEZ CEDEX;94;95;96;MONTPELLIER
LYCEE SAINT DOMINIQUE;2012;NANCY CEDEX;100;96;96;NANCY-METZ
LYCEE HOTELIER RAYMOND MONDON;2012;METZ;;;;NANCY-METZ
LYCEE NOTRE DAME;2012;PELTRE;;;;NANCY-METZ
LYCEE JEAN DE PANGE;2012;SARREGUEMINES CEDEX;90;98;89;NANCY-METZ
LYCEE SAINT PIERRE CHANEL;2012;THIONVILLE CEDEX;100;100;100;NANCY-METZ
LYCEE LA BAUGERIE;2012;ST SEBASTIEN SUR LOI CED;;;;NANTES
LYCEE ST LOUIS;2012;SAUMUR;100;100;94;NANTES
LYCEE ST MICHEL;2012;CHATEAU GONTIER CEDEX;94;100;100;NANTES
LYCEE AMIRAL DE GRASSE;2012;GRASSE;94;84;88;NICE
LYCEE THIERRY MAULNIER;2012;NICE;90;94;93;NICE
LYCEE LORGUES;2012;LORGUES;91;85;91;NICE
LYCEE HOTELLERIE ET TOURISME TPM;2012;TOULON CEDEX;;;;NICE
LYCEE EDOUARD BRANLY;2012;DREUX;91;100;88;ORLEANS-TOURS
LYCEE SOPHIE GERMAIN;2012;PARIS 04;100;96;95;PARIS
LYCEE CONDORCET;2012;PARIS 09;100;98;100;PARIS
LYCEE BLOMET;2012;PARIS 15;100;100;100;PARIS
LYCEE STE URSULE-LOUISE BETTIGNIES;2012;PARIS 17;100;97;100;PARIS
LYCEE JEAN HYPPOLITE;2012;JONZAC CEDEX;78;92;79;POITIERS
LYCEE LA VERSOIE;2013;THONON LES BAINS;97;97;96;GRENOBLE
LYCEE LA PLEIADE;2013;PONT DE CHERUY;88;97;80;GRENOBLE
LYCEE EDOUARD HERRIOT (GENERAL ET TECHNO.);2013;VOIRON;96;99;90;GRENOBLE
LYCEE BRAS PANON (GENERAL ET TECHNO.);2013;BRAS PANON;97;92;95;LA REUNION
LYCEE AMIRAL PIERRE BOUVET;2013;ST BENOIT;85;84;88;LA REUNION
LYCEE LE VERGER;2013;STE MARIE;84;86;92;LA REUNION
LYCEE FENELON;2013;CAMBRAI;93;93;83;LILLE
LYCEE AUGUSTE ANGELLIER;2013;DUNKERQUE;96;98;95;LILLE
LYCEE NOTRE-DAME DES DUNES;2013;DUNKERQUE;100;97;94;LILLE
LYCEE ANDRE LURCAT (GENERAL ET TECHNO.);2013;MAUBEUGE;;81;85;LILLE
LYCEE SAINT REMI;2013;ROUBAIX;100;98;92;LILLE
LYCEE SAINT PAUL;2013;LENS;;99;100;LILLE
